"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","prueba_1.csv"
"startTime","2025-07-05T01:57:22.107Z"
"durationLabel","5.00s"
"samplesPerSecondLabel","130 Hz"
"totalSamples","1956"
"dominantRegimen","turbulento"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.68","1.63","-0.90","5.98"
"Sensor 2","2.73","1.59","-0.93","5.94"
"Sensor 5","2.67","1.62","-0.93","5.89"

"#RAW_HEADERS",time,sensor1,sensor2,sensor5,regimen
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 5","Régimen de Flujo"
511,3.92,3.58,5.36,0.49,"turbulento"
512,3.93,0.78,2.81,0.68,"flujo laminar"
513,3.94,2.38,5.06,-0.65,"turbulento"
514,3.95,3.48,2.61,0.33,"flujo laminar"
515,3.95,-0.64,2.74,0.53,"flujo laminar"
516,3.96,2.21,1.53,2.01,"flujo laminar"
517,3.97,0.16,2.10,3.16,"flujo laminar"
518,3.98,-0.16,1.60,-0.23,"turbulento"
519,3.98,2.71,4.39,1.58,"turbulento"
520,3.99,0.50,5.91,2.73,"flujo laminar"
521,4.00,2.48,5.57,0.51,"flujo laminar"
522,4.01,1.68,4.36,0.17,"flujo laminar"
523,4.02,-0.38,4.31,4.47,"turbulento"
524,4.02,0.53,4.89,2.96,"flujo laminar"
525,4.03,0.70,3.75,0.43,"flujo laminar"
526,4.04,1.61,3.25,3.12,"flujo laminar"
527,4.05,-0.66,4.89,4.53,"flujo laminar"
528,4.05,0.27,2.79,3.04,"flujo laminar"
529,4.06,3.38,4.00,3.46,"flujo laminar"
530,4.07,2.78,3.76,0.23,"turbulento"
531,4.08,3.45,5.62,2.27,"turbulento"
532,4.08,2.68,2.60,3.27,"flujo laminar"
533,4.09,4.08,5.67,1.94,"turbulento"
534,4.10,2.19,4.42,1.85,"flujo laminar"
535,4.11,3.56,2.44,4.74,"turbulento"
536,4.12,1.28,4.14,1.24,"flujo laminar"
537,4.12,1.87,2.71,1.23,"turbulento"
538,4.13,2.70,3.41,3.53,"flujo laminar"
539,4.14,3.33,1.11,0.69,"flujo laminar"
540,4.15,3.71,1.59,0.77,"turbulento"
541,4.15,2.20,4.01,0.03,"flujo laminar"
542,4.16,2.22,0.97,3.57,"turbulento"
543,4.17,3.46,3.68,3.15,"turbulento"
544,4.18,-0.39,3.47,1.88,"flujo laminar"
545,4.18,2.60,5.30,2.48,"turbulento"
546,4.19,-0.27,1.11,3.43,"turbulento"
547,4.20,0.34,0.95,0.24,"flujo laminar"
548,4.21,-0.17,4.64,3.80,"turbulento"
549,4.22,1.70,5.65,1.80,"turbulento"
550,4.22,1.45,4.45,0.14,"flujo laminar"
551,4.23,0.76,1.61,5.00,"turbulento"
552,4.24,1.20,0.85,4.40,"flujo laminar"
553,4.25,3.02,5.19,0.22,"flujo laminar"
554,4.25,1.43,4.82,2.51,"flujo laminar"
555,4.26,0.15,3.68,3.30,"turbulento"
556,4.27,2.44,3.87,1.38,"flujo laminar"
557,4.28,-0.26,2.96,2.24,"turbulento"
558,4.28,0.96,1.93,3.17,"flujo laminar"
559,4.29,2.35,3.46,1.06,"turbulento"
560,4.30,1.75,1.08,4.86,"flujo laminar"
561,4.31,0.03,5.72,1.79,"flujo laminar"
562,4.32,1.58,1.88,4.30,"flujo laminar"
563,4.32,1.41,1.56,1.60,"turbulento"
564,4.33,1.69,1.81,2.36,"flujo laminar"
565,4.34,-0.75,4.23,4.46,"flujo laminar"
566,4.35,1.59,4.42,5.05,"flujo laminar"
567,4.35,2.12,5.61,4.89,"turbulento"
568,4.36,3.92,3.20,1.26,"flujo laminar"
569,4.37,-0.89,3.83,4.74,"flujo laminar"
570,4.38,-0.07,4.17,4.11,"flujo laminar"
571,4.38,1.22,2.61,2.86,"turbulento"
572,4.39,3.32,4.15,4.60,"turbulento"
573,4.40,0.45,2.58,3.59,"flujo laminar"
574,4.41,-0.11,4.71,1.54,"flujo laminar"
575,4.42,3.87,1.32,5.13,"turbulento"
576,4.42,-0.08,4.74,2.54,"turbulento"
577,4.43,2.77,1.44,3.51,"flujo laminar"
578,4.44,0.50,3.41,4.18,"turbulento"
579,4.45,0.77,0.97,5.00,"turbulento"
580,4.45,2.46,3.33,4.77,"turbulento"
581,4.46,3.88,5.24,1.77,"flujo laminar"
582,4.47,0.44,1.02,5.13,"turbulento"
583,4.48,-0.53,4.58,5.71,"turbulento"
584,4.48,3.57,5.42,4.18,"flujo laminar"
585,4.49,1.94,3.57,3.09,"flujo laminar"
586,4.50,1.34,1.88,2.86,"turbulento"
587,4.51,2.82,2.08,4.70,"flujo laminar"
588,4.52,-0.22,0.43,5.46,"turbulento"
589,4.52,-0.79,2.97,5.78,"turbulento"
590,4.53,1.68,1.09,3.00,"turbulento"
591,4.54,3.30,4.67,1.06,"turbulento"
592,4.55,1.75,2.27,3.76,"turbulento"
593,4.55,-0.65,3.63,4.94,"flujo laminar"
594,4.56,-0.29,0.77,1.85,"turbulento"
595,4.57,0.38,3.29,2.24,"flujo laminar"
596,4.58,3.99,2.61,2.16,"flujo laminar"
597,4.58,-0.76,1.40,2.63,"flujo laminar"
598,4.59,2.29,1.67,3.81,"turbulento"
599,4.60,2.93,0.38,5.51,"flujo laminar"
600,4.61,0.06,3.29,2.99,"flujo laminar"
601,4.62,0.76,3.00,4.34,"turbulento"
602,4.62,2.92,1.22,2.67,"turbulento"
603,4.63,0.00,2.79,5.70,"turbulento"
604,4.64,1.57,2.24,3.88,"flujo laminar"
605,4.65,3.37,3.53,3.92,"flujo laminar"
606,4.65,2.56,2.07,1.73,"turbulento"
607,4.66,0.12,3.80,3.56,"flujo laminar"
608,4.67,3.13,2.95,4.65,"flujo laminar"
609,4.68,1.54,4.96,1.18,"flujo laminar"
610,4.68,3.57,2.38,5.22,"flujo laminar"
611,4.69,-0.90,4.12,5.24,"turbulento"
612,4.70,0.65,4.89,2.17,"turbulento"
613,4.71,2.11,3.67,2.69,"turbulento"
614,4.72,3.99,2.80,2.22,"flujo laminar"
615,4.72,2.43,3.44,2.02,"flujo laminar"
616,4.73,1.56,3.93,3.50,"flujo laminar"
617,4.74,-0.42,0.53,4.52,"turbulento"
618,4.75,0.74,0.01,1.53,"turbulento"
619,4.75,2.40,1.94,5.19,"turbulento"
620,4.76,0.81,3.37,4.88,"flujo laminar"
621,4.77,2.93,3.31,2.59,"turbulento"
622,4.78,1.92,2.92,5.70,"flujo laminar"
623,4.78,0.69,1.02,3.88,"turbulento"
624,4.79,0.02,2.60,2.12,"flujo laminar"
625,4.80,-0.47,0.41,5.47,"turbulento"
626,4.81,1.42,0.79,1.22,"turbulento"
627,4.82,2.55,1.15,5.37,"flujo laminar"
628,4.82,1.04,2.22,3.72,"flujo laminar"
629,4.83,2.83,2.07,4.42,"turbulento"
630,4.84,1.43,1.53,4.18,"turbulento"
631,4.85,1.59,-0.02,5.42,"flujo laminar"
632,4.85,3.23,3.40,3.78,"flujo laminar"
633,4.86,1.05,-0.24,3.94,"flujo laminar"
634,4.87,0.93,3.91,5.84,"flujo laminar"
635,4.88,2.80,0.12,2.12,"turbulento"
636,4.88,1.21,0.33,3.20,"turbulento"
637,4.89,1.24,2.66,4.98,"turbulento"
638,4.90,-0.45,0.29,2.31,"turbulento"
639,4.91,0.41,4.57,2.38,"turbulento"
640,4.92,3.63,-0.30,5.54,"turbulento"
641,4.92,1.79,1.60,2.11,"turbulento"
642,4.93,0.25,1.88,3.18,"turbulento"
643,4.94,0.40,1.59,5.32,"turbulento"
644,4.95,1.15,0.22,2.81,"turbulento"
645,4.95,2.45,2.45,4.58,"flujo laminar"
646,4.96,1.62,1.84,5.31,"turbulento"
647,4.97,3.62,1.61,4.19,"turbulento"
648,4.98,0.66,3.17,4.02,"flujo laminar"
649,4.98,1.55,2.93,1.22,"flujo laminar"
650,4.99,3.78,3.35,3.37,"turbulento"
651,5.00,-0.37,4.28,2.76,"turbulento"
652,5.00,0.93,0.52,3.45,"flujo laminar"
