"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion_017.csv"
"startTime","2025-09-16T06:44:30.545Z"
"durationLabel","6.20s"
"samplesPerSecondLabel","150 Hz"
"totalSamples","930"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.40","1.65","-0.93","5.95"
"Sensor 2","2.57","1.56","-0.99","5.97"
"Sensor 3","2.53","1.65","-0.99","5.93"
"Sensor 4","2.54","1.60","-0.91","5.98"
"Sensor 5","2.54","1.61","-0.88","5.79"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4,sensor5
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4","Sensor 5"
505,3.37,3.27,2.50,2.26,3.97,3.65
506,3.37,1.90,0.84,2.27,2.49,0.58
507,3.38,0.38,0.84,-0.09,3.56,1.83
508,3.39,1.99,4.49,0.31,5.23,0.22
509,3.39,3.25,3.78,1.52,1.11,-0.37
510,3.40,0.91,4.61,2.82,4.09,3.46
511,3.41,2.39,2.40,3.87,3.22,1.30
512,3.41,0.05,1.90,4.02,5.55,0.19
513,3.42,1.86,0.80,-0.56,5.42,2.74
514,3.43,3.34,5.33,0.29,1.62,1.30
515,3.43,2.30,3.46,1.34,4.01,1.01
516,3.44,0.58,1.75,1.70,2.77,3.47
517,3.45,0.52,4.41,2.65,4.09,0.85
518,3.45,0.93,2.50,-0.67,3.80,2.49
519,3.46,4.04,2.23,1.33,2.44,-0.29
520,3.47,1.54,3.21,1.17,5.05,0.20
521,3.47,0.02,2.70,-0.20,3.95,3.03
522,3.48,1.37,2.18,0.72,3.31,0.48
523,3.49,3.37,4.89,1.42,1.18,2.24
524,3.49,0.52,1.95,3.21,3.34,3.19
525,3.50,1.68,2.39,-0.50,2.55,1.61
526,3.51,1.06,0.76,3.90,4.85,2.93
527,3.51,0.14,3.36,-0.55,3.08,0.47
528,3.52,4.18,4.94,3.19,3.28,0.24
529,3.53,3.68,1.17,0.57,3.94,0.00
530,3.53,0.72,2.54,2.60,2.94,3.09
531,3.54,0.09,3.25,3.95,2.42,-0.14
532,3.55,0.50,2.77,1.88,1.83,2.36
533,3.55,4.35,4.51,1.56,4.48,0.58
534,3.56,3.02,5.57,0.96,2.27,2.39
535,3.57,4.00,1.83,1.03,2.94,3.25
536,3.57,2.58,3.13,3.99,4.77,3.13
537,3.58,2.36,1.78,1.26,4.55,0.34
538,3.59,-0.31,3.12,3.66,2.78,4.11
539,3.59,3.87,1.94,2.99,5.13,3.53
540,3.60,1.60,4.77,3.84,1.19,3.56
541,3.61,3.23,4.73,-0.53,2.49,1.33
542,3.61,1.72,3.88,-0.32,5.03,1.96
543,3.62,0.83,1.86,0.74,1.25,3.15
544,3.63,-0.43,1.13,0.37,4.57,3.13
545,3.63,2.29,5.50,0.74,2.97,1.51
546,3.64,3.38,4.42,0.19,4.52,2.59
547,3.65,2.96,2.74,-0.99,3.02,2.15
548,3.65,1.28,2.40,0.51,2.29,0.21
549,3.66,4.47,2.02,3.74,3.14,1.11
550,3.67,1.36,1.39,2.54,1.28,0.93
551,3.67,2.17,4.98,2.73,1.26,-0.33
552,3.68,0.77,1.77,2.00,2.06,2.93
553,3.69,0.36,4.80,2.74,3.42,3.42
554,3.69,2.19,0.97,3.35,4.47,3.83
555,3.70,0.88,2.46,0.05,2.66,3.59
556,3.71,0.14,1.46,0.82,1.15,1.31
557,3.71,3.68,2.00,3.46,1.01,2.63
558,3.72,-0.19,1.59,0.44,5.15,3.17
559,3.73,2.26,2.72,-0.17,2.76,2.27
560,3.73,3.60,5.83,2.51,2.79,3.61
561,3.74,3.67,4.03,-0.56,4.07,1.30
562,3.75,2.35,3.16,0.25,4.34,0.05
563,3.75,0.51,1.22,-0.92,4.73,3.54
564,3.76,3.26,3.65,3.21,2.46,2.53
565,3.77,3.97,3.65,1.97,3.73,0.41
566,3.77,-0.27,3.87,3.09,1.99,4.39
567,3.78,3.87,4.42,1.84,1.24,0.30
568,3.79,3.73,5.46,3.04,5.09,1.44
569,3.79,2.49,2.88,0.97,5.07,3.46
570,3.80,1.22,4.64,-0.71,5.38,2.14
571,3.81,1.77,1.89,0.15,5.25,2.88
572,3.81,2.54,4.05,3.01,1.79,2.19
573,3.82,-0.50,5.04,3.83,4.21,1.75
574,3.83,-0.09,4.24,0.01,4.80,5.14
575,3.83,2.14,3.18,0.44,5.14,3.84
576,3.84,3.75,5.86,1.32,3.62,3.74
577,3.85,3.07,3.87,3.01,3.24,4.97
578,3.85,1.30,2.25,1.87,1.31,3.31
579,3.86,-0.36,2.69,3.73,0.53,2.89
580,3.87,0.30,5.93,2.46,2.66,1.49
581,3.87,2.24,1.74,-0.74,5.00,4.53
582,3.88,0.84,5.38,3.18,3.59,1.03
583,3.89,3.47,4.30,1.18,2.51,0.84
584,3.89,1.41,1.24,0.46,2.76,4.44
585,3.90,3.91,3.17,1.11,3.11,3.66
586,3.91,2.80,1.93,0.37,1.03,0.82
587,3.91,2.78,4.96,0.99,4.10,4.08
588,3.92,0.50,3.15,1.28,2.16,1.05
589,3.93,-0.26,1.62,3.87,2.80,0.99
590,3.93,0.78,3.82,3.06,0.32,4.36
591,3.94,-0.04,2.22,0.03,1.38,4.35
592,3.95,0.57,3.31,-0.62,4.12,4.24
593,3.95,1.60,2.18,3.65,3.26,5.64
594,3.96,-0.33,1.96,1.07,1.30,0.90
595,3.97,1.10,3.30,3.89,2.47,1.59
596,3.97,3.90,2.76,1.45,0.15,3.45
597,3.98,4.22,3.03,0.13,2.50,1.32
598,3.99,2.19,2.82,1.07,3.53,5.21
599,3.99,0.80,5.65,0.27,2.37,3.49
600,4.00,2.18,4.91,2.69,4.21,2.85
601,4.01,3.85,5.67,0.40,0.27,4.99
602,4.01,3.67,3.83,3.56,4.46,3.12
603,4.02,2.36,5.97,1.13,1.22,2.28
604,4.03,3.36,2.80,3.65,2.72,3.57
605,4.03,2.81,3.17,-0.05,2.10,5.79
606,4.04,1.37,3.57,1.94,3.40,2.30
607,4.05,0.31,4.18,2.42,2.06,2.95
608,4.05,2.50,3.79,2.42,-0.02,5.45
609,4.06,0.86,2.05,3.40,3.60,2.87
610,4.07,-0.65,1.03,1.27,-0.12,5.30
611,4.07,2.74,5.79,-0.34,2.27,1.92
612,4.08,0.52,4.12,2.13,-0.57,2.82
613,4.09,2.80,1.19,2.73,-0.35,2.72
614,4.09,2.99,2.30,1.35,1.24,1.57
615,4.10,0.64,5.16,1.67,3.05,3.89
616,4.11,3.64,3.59,2.51,2.96,4.39
617,4.11,3.29,1.63,4.48,1.90,5.24
618,4.12,3.21,0.93,0.23,3.26,1.64
619,4.13,-0.74,1.11,2.75,0.08,2.31
620,4.13,0.82,3.75,-0.09,2.14,4.96
621,4.14,1.59,4.09,3.63,0.94,1.82
622,4.15,0.86,5.47,0.39,1.38,4.42
623,4.15,3.12,5.72,1.25,2.19,5.20
624,4.16,0.48,1.55,2.59,-0.57,2.10
625,4.17,2.61,1.10,0.82,-0.59,2.71
626,4.17,0.46,1.83,2.77,3.82,3.75
627,4.18,2.44,1.08,4.47,2.95,3.93
628,4.19,1.17,3.35,3.02,3.48,5.20
629,4.19,0.60,5.61,1.60,2.01,1.34
630,4.20,0.43,2.44,1.70,0.71,1.15
631,4.21,2.69,4.76,2.07,2.55,3.25
632,4.21,3.88,1.12,3.92,3.29,3.23
633,4.22,0.71,3.11,5.00,1.43,3.32
634,4.23,1.06,2.71,0.29,0.11,4.00
635,4.23,-0.58,3.88,3.24,3.45,1.35
636,4.24,3.90,2.98,2.28,2.14,4.15
637,4.25,0.05,3.97,4.27,1.00,2.09
638,4.25,2.06,1.77,1.92,3.76,0.81
639,4.26,0.75,3.61,3.60,3.58,1.16
640,4.27,0.94,2.56,3.02,0.51,4.97
641,4.27,1.31,2.45,3.25,3.77,5.58
642,4.28,0.20,2.50,3.92,2.53,5.36
643,4.29,1.06,5.00,3.66,2.40,3.79
644,4.29,1.91,3.96,4.10,2.34,1.96
645,4.30,2.95,4.44,2.75,-0.37,2.77
646,4.31,1.71,2.40,1.58,1.52,1.93
647,4.31,3.95,5.44,5.07,2.67,3.83
648,4.32,1.72,4.41,4.76,-0.76,2.76
649,4.33,0.19,2.01,2.16,1.40,2.01
650,4.33,1.85,4.78,2.52,3.61,5.08
651,4.34,1.34,0.81,3.33,1.85,1.24
652,4.35,2.61,5.59,0.94,3.17,4.15
653,4.35,4.04,2.28,4.69,2.00,1.12
654,4.36,3.81,2.81,4.07,-0.72,4.95
655,4.37,0.38,2.23,0.87,2.79,5.10
656,4.37,3.17,1.47,1.35,0.27,0.44
657,4.38,2.93,4.85,3.12,3.90,1.14
658,4.39,1.28,2.90,3.88,1.70,4.79
659,4.39,1.08,4.64,2.53,1.53,2.72
660,4.40,0.24,1.57,3.72,4.01,3.59
661,4.41,3.01,2.24,1.81,0.51,3.59
662,4.41,1.00,2.68,4.24,-0.63,0.43
663,4.42,-0.51,3.45,1.32,0.18,2.74
664,4.43,-0.17,2.99,2.13,1.92,4.28
665,4.43,-0.43,2.50,1.56,2.22,0.23
666,4.44,0.97,5.50,1.36,0.12,4.00
667,4.45,1.67,1.22,0.80,0.77,-0.04
668,4.45,1.12,2.18,2.33,0.99,3.92
669,4.46,2.29,4.46,1.18,3.02,2.53
670,4.47,0.04,3.01,1.78,0.98,0.56
671,4.47,-0.56,0.78,1.25,1.46,0.74
672,4.48,0.98,5.19,4.98,0.45,0.51
673,4.49,3.04,4.36,5.13,3.40,1.28
674,4.49,-0.41,0.68,3.00,0.08,2.20
675,4.50,2.00,1.16,0.87,2.25,2.05
676,4.51,4.02,1.12,4.51,-0.71,2.86
677,4.51,1.78,3.53,2.87,-0.23,2.86
678,4.52,-0.51,4.53,2.36,1.34,-0.19
679,4.53,2.92,1.99,3.29,2.24,0.34
680,4.53,1.35,3.48,2.16,-0.45,0.35
681,4.54,-0.69,5.00,5.67,2.76,1.89
682,4.55,0.82,1.96,2.89,4.02,1.36
683,4.55,0.39,3.48,2.11,3.53,0.07
684,4.56,1.95,1.02,2.10,4.19,0.74
685,4.57,1.26,3.50,1.07,1.87,2.88
686,4.57,1.65,3.30,1.74,2.63,3.29
687,4.58,-0.84,2.92,2.17,3.47,3.95
688,4.59,0.85,4.70,2.24,3.75,1.57
689,4.59,2.38,3.84,2.87,2.00,-0.81
690,4.60,-0.76,3.53,5.36,1.58,3.65
691,4.61,1.87,3.99,3.39,0.68,-0.81
692,4.61,3.48,4.49,3.05,-0.08,1.79
693,4.62,-0.82,2.83,1.39,1.34,3.01
694,4.63,-0.26,1.74,0.97,4.43,2.41
695,4.63,1.18,2.81,4.58,2.80,-0.10
696,4.64,-0.74,4.70,5.09,4.59,3.16
697,4.65,-0.63,3.34,5.45,2.74,-0.26
698,4.65,2.83,2.71,2.69,2.58,0.73
699,4.66,1.35,4.74,2.37,0.10,2.82
700,4.67,2.67,1.12,2.46,1.19,2.06
701,4.67,-0.79,3.72,1.72,4.77,2.02
702,4.68,0.25,0.35,1.72,0.34,3.39
703,4.69,0.63,3.94,1.81,3.70,3.47
704,4.69,1.79,1.87,3.49,4.87,-0.76
705,4.70,2.73,4.19,3.40,3.31,2.86
706,4.71,1.08,0.61,4.14,0.64,-0.48
707,4.71,-0.30,0.95,3.22,1.48,1.68
708,4.72,3.58,1.55,3.34,2.03,1.16
709,4.73,-0.83,3.57,3.36,0.70,3.83
710,4.73,0.28,4.28,3.59,3.58,3.66
711,4.74,1.27,0.35,4.10,4.90,1.94
712,4.75,0.65,2.41,2.47,3.89,3.41
713,4.75,2.72,2.92,4.76,0.21,-0.70
714,4.76,1.03,4.49,5.26,2.39,-0.52
715,4.77,0.12,-0.05,5.26,2.11,-0.42
716,4.77,-0.12,4.73,4.73,3.97,1.30
717,4.78,3.97,1.37,5.92,4.57,2.39
718,4.79,1.43,-0.13,2.60,2.19,1.82
719,4.79,0.89,0.46,1.84,4.54,0.25
720,4.80,-0.43,3.80,2.15,5.25,2.74
721,4.81,3.63,1.33,2.41,1.94,2.52
722,4.81,-0.31,0.45,0.99,2.40,3.49
723,4.82,3.23,3.26,5.74,4.44,3.76
724,4.83,3.12,0.80,4.08,1.35,1.44
725,4.83,0.58,0.37,4.71,5.04,1.85
726,4.84,-0.24,3.59,5.92,4.65,-0.56
727,4.85,0.46,1.53,1.15,4.98,1.47
728,4.85,-0.15,3.04,1.60,2.48,3.81
729,4.86,3.38,1.90,1.85,4.19,0.11
730,4.87,2.45,2.34,1.82,0.94,0.72
731,4.87,0.36,2.61,2.26,5.35,4.07
732,4.88,0.10,0.96,2.02,1.63,1.53
733,4.89,2.63,3.74,4.18,0.98,0.01
734,4.89,1.63,4.13,1.09,0.77,-0.08
735,4.90,-0.60,3.86,3.31,5.25,3.85
736,4.91,2.26,4.49,5.28,1.87,0.35
737,4.91,3.85,2.23,1.31,1.22,3.95
738,4.92,3.91,0.37,4.86,1.41,0.29
739,4.93,0.52,2.52,3.91,2.56,3.85
740,4.93,0.80,1.33,5.49,1.90,1.36
741,4.94,2.98,1.06,0.90,3.17,-0.18
742,4.95,-0.81,4.53,3.85,4.27,0.37
743,4.95,-0.93,3.21,1.11,4.43,2.04
744,4.96,-0.51,1.87,0.86,5.71,3.25
745,4.97,0.02,4.32,4.66,2.99,2.08
746,4.97,3.21,4.27,4.07,4.36,2.53
747,4.98,2.15,2.14,4.42,2.67,1.22
748,4.99,0.66,4.40,0.69,4.80,1.21
749,4.99,-0.87,0.14,4.77,4.50,0.94
750,5.00,2.46,2.44,2.06,0.92,-0.02
751,5.01,3.57,0.84,3.23,3.26,1.19
752,5.01,1.83,-0.03,3.85,4.77,4.56
753,5.02,0.34,0.62,3.70,4.32,0.08
754,5.03,1.82,3.21,1.15,2.33,4.19
755,5.03,1.78,4.20,1.33,5.04,4.90
756,5.04,0.05,1.00,5.52,1.47,2.05
757,5.05,1.97,0.16,5.40,5.92,3.28
758,5.05,-0.69,1.52,4.16,2.85,0.29
759,5.06,2.65,1.84,1.00,4.23,1.91
760,5.07,2.65,2.89,5.44,1.19,0.73
761,5.07,0.35,-0.56,1.86,1.28,0.37
762,5.08,2.10,3.84,1.41,4.99,3.10
763,5.09,3.64,0.55,2.82,4.51,2.07
764,5.09,2.44,2.39,0.75,3.56,3.54
765,5.10,3.72,4.13,3.28,2.81,2.40
766,5.11,0.46,-0.17,4.78,1.02,3.57
767,5.11,4.08,4.19,2.38,5.87,4.54
768,5.12,-0.04,3.25,3.13,1.39,2.07
769,5.13,3.74,0.74,0.94,1.30,4.54
770,5.13,3.24,-0.49,0.55,2.13,4.48
771,5.14,3.04,0.17,2.95,3.44,3.20
772,5.15,2.25,3.02,4.76,3.77,5.20
773,5.15,-0.37,3.82,0.75,5.98,0.68
774,5.16,-0.51,1.38,1.84,5.65,4.45
775,5.17,1.38,1.51,5.08,1.72,3.41
776,5.17,-0.85,2.48,4.63,2.97,4.70
777,5.18,0.96,2.55,3.97,4.87,4.94
778,5.19,-0.78,2.84,3.91,4.20,4.19
779,5.19,-0.24,3.58,1.39,5.52,2.24
780,5.20,0.76,2.74,0.44,1.21,1.46
781,5.21,0.66,-0.64,4.82,2.86,1.79
782,5.21,0.36,3.52,0.08,1.28,5.76
783,5.22,3.27,-0.33,3.30,2.39,4.77
784,5.23,2.57,0.67,3.25,1.87,4.20
785,5.23,-0.57,2.64,2.16,3.66,1.24
786,5.24,0.63,2.19,2.54,5.26,1.76
787,5.25,3.91,-0.59,2.00,4.27,0.91
788,5.25,3.58,2.40,1.76,1.83,4.37
789,5.26,3.67,0.26,3.41,1.57,5.05
790,5.27,2.60,0.13,4.08,1.48,3.61
791,5.27,2.64,4.05,3.61,3.99,1.06
792,5.28,-0.42,0.99,0.99,4.01,3.43
793,5.29,0.13,0.99,4.66,4.58,4.30
794,5.29,0.59,1.16,0.97,4.58,3.85
795,5.30,3.63,1.00,3.18,3.94,3.24
796,5.31,4.02,-0.81,0.24,3.03,1.42
797,5.31,-0.41,-0.34,1.69,2.16,4.51
798,5.32,2.50,0.52,0.46,3.02,4.45
799,5.33,3.36,0.55,1.97,3.07,4.46
800,5.33,1.71,1.54,3.99,5.24,2.01
801,5.34,1.93,0.49,1.69,2.76,5.43
802,5.35,-0.09,0.76,3.95,2.45,4.39
803,5.35,0.61,3.03,1.19,4.00,1.35
804,5.36,3.14,2.30,-0.26,0.85,1.88
805,5.37,2.29,1.96,-0.21,3.60,1.93
806,5.37,3.11,2.66,1.54,2.16,1.17
807,5.38,-0.69,2.86,3.09,0.83,3.16
808,5.39,2.70,1.50,2.75,1.47,3.99
809,5.39,-0.48,3.12,0.33,1.86,1.33
810,5.40,3.20,2.50,4.11,2.32,2.91
811,5.41,2.36,-0.74,3.39,2.67,4.96
812,5.41,3.39,0.38,2.45,1.98,5.56
813,5.42,1.86,3.92,2.40,3.82,5.32
814,5.43,1.31,1.95,-0.36,3.93,2.42
815,5.43,0.96,3.26,1.99,4.20,5.41
816,5.44,2.61,2.85,1.77,3.84,3.74
817,5.45,0.53,-0.15,-0.55,2.16,3.96
818,5.45,0.70,3.27,3.63,1.89,3.91
819,5.46,3.50,0.58,-0.02,3.65,3.05
820,5.47,3.65,3.00,0.41,2.30,2.02
821,5.47,-0.67,2.79,0.68,4.76,5.25
822,5.48,3.17,3.81,0.21,0.86,2.68
823,5.49,3.72,0.73,3.33,2.77,0.81
824,5.49,-0.14,2.72,3.46,3.74,1.64
825,5.50,0.78,-0.94,1.16,3.03,2.64
826,5.51,3.45,0.24,1.42,3.53,3.37
827,5.51,1.15,-0.96,3.71,0.65,5.25
828,5.52,0.79,2.09,2.26,4.37,1.27
829,5.53,1.20,2.89,2.56,1.80,5.30
830,5.53,2.26,0.00,1.67,0.83,2.10
831,5.54,0.18,3.42,4.14,4.32,1.14
832,5.55,2.64,3.85,2.80,3.68,3.99
833,5.55,2.03,-0.44,3.77,4.35,2.73
834,5.56,1.41,2.48,0.44,1.30,1.54
835,5.57,0.64,0.48,3.33,3.46,2.55
836,5.57,1.64,3.84,1.16,4.44,3.21
837,5.58,0.82,1.81,-0.40,3.56,2.41
838,5.59,2.86,2.28,0.82,4.01,1.10
839,5.59,2.68,3.32,-0.45,4.03,5.01
840,5.60,3.90,2.25,3.11,4.04,4.52
841,5.61,3.95,-0.09,2.88,3.85,0.35
842,5.61,1.22,0.87,0.86,1.06,2.85
843,5.62,2.48,1.62,-0.38,2.76,1.52
844,5.63,2.24,3.12,3.22,0.28,0.45
845,5.63,2.25,0.17,3.08,3.20,2.11
846,5.64,4.06,0.04,0.70,2.16,4.01
847,5.65,1.08,-0.67,-0.55,0.15,3.71
848,5.65,-0.47,3.44,3.17,3.85,1.73
849,5.66,0.54,0.02,0.64,1.34,0.60
850,5.67,-0.44,3.81,3.27,0.54,2.78
851,5.67,2.81,-0.90,-0.52,2.71,1.75
852,5.68,1.14,2.97,3.14,2.36,2.34
853,5.69,0.94,-0.76,2.05,3.03,1.21
854,5.69,0.75,0.09,2.85,3.78,4.33
855,5.70,0.33,2.31,-0.63,2.54,4.75
856,5.71,1.22,3.65,1.57,0.33,2.90
857,5.71,3.59,1.10,0.52,0.05,0.55
858,5.72,-0.47,0.36,3.29,0.35,0.07
859,5.73,3.80,-0.06,-0.95,3.85,0.53
860,5.73,-0.50,2.47,0.49,1.27,3.33
861,5.74,4.29,0.76,2.59,3.82,2.36
862,5.75,2.54,1.25,1.60,3.58,1.10
863,5.75,4.45,3.84,3.69,2.83,0.07
864,5.76,0.31,-0.62,-0.40,-0.31,4.02
865,5.77,2.20,1.58,1.50,2.83,1.54
866,5.77,-0.48,3.38,-0.93,2.34,3.07
867,5.78,1.78,1.95,3.84,2.59,1.41
868,5.79,2.41,1.27,1.49,2.74,3.90
869,5.79,4.46,2.79,3.18,0.95,1.03
870,5.80,2.44,-0.25,-0.44,2.85,2.74
871,5.81,1.24,-0.80,3.29,0.58,1.71
872,5.81,3.68,1.80,3.42,0.57,3.74
873,5.82,2.90,2.26,2.79,2.29,3.04
874,5.83,1.53,1.14,-0.27,-0.26,1.10
875,5.83,0.34,-0.49,-0.81,2.51,3.84
876,5.84,3.54,2.99,1.78,1.58,-0.05
877,5.85,1.09,2.69,-0.82,3.05,-0.69
878,5.85,1.51,1.50,1.66,1.31,1.72
879,5.86,4.55,2.71,0.60,1.08,3.87
880,5.87,0.06,0.86,2.04,-0.15,1.17
881,5.87,0.33,4.13,0.00,2.37,3.93
882,5.88,-0.18,4.21,3.33,2.03,0.36
883,5.89,3.85,3.41,1.07,0.71,1.11
884,5.89,4.48,0.18,2.77,3.77,3.06
885,5.90,3.85,0.79,2.95,3.57,-0.74
886,5.91,1.13,1.96,-0.79,1.68,2.50
887,5.91,1.96,0.92,2.98,0.77,3.46
888,5.92,0.96,0.50,1.07,2.14,3.59
889,5.93,4.26,3.22,1.53,-0.75,0.26
890,5.93,1.14,1.93,-0.50,2.02,0.52
891,5.94,-0.26,2.13,3.66,2.58,2.80
892,5.95,1.88,3.32,2.08,2.30,1.30
893,5.95,0.68,1.44,3.92,2.66,0.64
894,5.96,3.76,1.96,3.60,2.74,0.79
895,5.97,3.54,1.43,1.66,-0.79,-0.78
896,5.97,0.13,1.17,3.21,3.75,2.17
897,5.98,1.54,3.26,1.20,1.87,3.89
898,5.99,0.56,-0.49,3.42,0.12,2.19
899,5.99,-0.20,1.37,3.97,2.76,1.34
900,6.00,3.25,-0.17,1.28,-0.85,-0.50
901,6.01,0.80,2.30,2.46,3.05,2.07
902,6.01,3.47,3.65,0.25,1.31,-0.88
903,6.02,3.22,2.89,2.94,4.12,0.01
904,6.03,1.85,3.24,-0.35,0.48,1.98
905,6.03,1.51,-0.08,0.20,2.42,-0.38
906,6.04,1.87,1.06,2.33,-0.37,2.69
907,6.05,2.40,-0.39,2.83,4.17,1.67
908,6.05,0.91,4.14,1.51,2.55,3.09
909,6.06,4.51,4.50,2.92,-0.02,-0.60
910,6.07,0.27,0.23,1.15,2.92,3.67
911,6.07,4.55,4.42,1.41,1.10,3.79
912,6.08,0.40,2.72,4.00,1.02,3.34
913,6.09,1.99,3.36,3.76,0.50,2.73
914,6.09,3.98,0.67,3.17,1.90,1.31
915,6.10,1.23,-0.13,2.41,3.25,0.05
916,6.11,2.39,2.96,3.61,1.36,4.15
917,6.11,0.27,0.88,0.74,-0.03,2.18
918,6.12,3.32,4.45,1.32,0.13,4.17
919,6.13,3.02,2.70,1.90,1.49,-0.05
920,6.13,0.90,1.47,-0.21,3.53,2.73
921,6.14,1.04,4.49,2.50,3.76,1.41
922,6.15,3.88,3.42,3.10,1.76,2.15
923,6.15,-0.06,0.15,2.01,4.43,4.05
924,6.16,1.68,-0.06,1.01,3.80,2.62
925,6.17,3.37,2.35,2.38,2.13,-0.01
926,6.17,0.68,3.62,3.38,1.10,1.26
927,6.18,2.81,4.77,3.71,4.31,2.68
928,6.19,3.64,1.84,3.55,0.76,4.14
929,6.19,0.73,4.74,1.04,0.49,0.57
930,6.20,0.67,2.52,3.74,1.56,3.39
