"Test Summary"
"Parameter","Value"
"File name","kk.csv"
"startTime","2025-09-17T04:25:20.990Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","150 Hz"
"totalSamples","1501"
"dominantRegimen","TRANSITION"

"Test Statistics"
"Sensor","Mean","Std. Dev.","Min","Max"
"Sensor 2","2.68","1.60","-0.96","5.96"

"#RAW_HEADERS",time,sensor2
"Collected Data"
"Sample No.","time","Sensor 2"
1319,8.79,3.10
1320,8.80,3.21
1321,8.81,3.37
1322,8.81,5.18
1323,8.82,2.28
1324,8.83,3.79
1325,8.83,0.65
1326,8.84,3.28
1327,8.85,2.66
1328,8.85,1.57
1329,8.86,3.28
1330,8.87,4.92
1331,8.87,1.95
1332,8.88,4.18
1333,8.89,5.43
1334,8.89,5.40
1335,8.90,5.28
1336,8.91,1.60
1337,8.91,0.83
1338,8.92,3.77
1339,8.93,4.41
1340,8.93,0.77
1341,8.94,2.08
1342,8.95,5.18
1343,8.95,1.69
1344,8.96,1.19
1345,8.97,4.99
1346,8.97,1.25
1347,8.98,0.89
1348,8.99,0.80
1349,8.99,4.42
1350,9.00,1.32
1351,9.01,5.23
1352,9.01,1.38
1353,9.02,2.61
1354,9.03,5.06
1355,9.03,2.02
1356,9.04,2.61
1357,9.05,3.10
1358,9.05,5.24
1359,9.06,0.83
1360,9.07,1.34
1361,9.07,2.24
1362,9.08,1.31
1363,9.09,1.59
1364,9.09,1.32
1365,9.10,4.86
1366,9.11,3.76
1367,9.11,3.92
1368,9.12,3.68
1369,9.13,4.52
1370,9.13,2.51
1371,9.14,1.72
1372,9.15,4.60
1373,9.15,3.89
1374,9.16,4.92
1375,9.17,4.75
1376,9.17,1.66
1377,9.18,4.65
1378,9.19,2.54
1379,9.19,2.55
1380,9.20,1.08
1381,9.21,4.58
1382,9.21,4.61
1383,9.22,4.45
1384,9.23,2.67
1385,9.23,3.05
1386,9.24,2.03
1387,9.25,4.67
1388,9.25,3.60
1389,9.26,2.57
1390,9.27,3.81
1391,9.27,3.09
1392,9.28,0.15
1393,9.29,0.69
1394,9.29,2.21
1395,9.30,2.12
1396,9.31,0.13
1397,9.31,4.03
1398,9.32,1.17
1399,9.33,4.99
1400,9.33,4.23
1401,9.34,1.68
1402,9.35,3.08
1403,9.35,1.38
1404,9.36,2.15
1405,9.37,3.40
1406,9.37,4.17
1407,9.38,3.79
1408,9.39,2.11
1409,9.39,0.76
1410,9.40,1.32
1411,9.41,2.64
1412,9.41,3.08
1413,9.42,3.65
1414,9.43,1.45
1415,9.43,0.92
1416,9.44,2.68
1417,9.45,0.31
1418,9.45,0.56
1419,9.46,2.59
1420,9.47,4.36
1421,9.47,1.88
1422,9.48,0.97
1423,9.49,4.04
1424,9.49,2.82
1425,9.50,4.34
1426,9.51,0.98
1427,9.51,3.76
1428,9.52,4.26
1429,9.53,1.54
1430,9.53,0.16
1431,9.54,2.49
1432,9.55,2.29
1433,9.55,4.17
1434,9.56,2.95
1435,9.57,0.66
1436,9.57,2.80
1437,9.58,1.44
1438,9.59,3.98
1439,9.59,1.23
1440,9.60,0.30
1441,9.61,4.45
1442,9.61,2.52
1443,9.62,1.23
1444,9.63,4.47
1445,9.63,2.49
1446,9.64,2.64
1447,9.65,2.14
1448,9.65,1.67
1449,9.66,2.80
1450,9.67,3.51
1451,9.67,2.28
1452,9.68,4.53
1453,9.69,1.52
1454,9.69,3.17
1455,9.70,1.37
1456,9.71,2.17
1457,9.71,2.00
1458,9.72,0.53
1459,9.73,1.86
1460,9.73,0.77
1461,9.74,4.39
1462,9.75,3.30
1463,9.75,4.28
1464,9.76,1.93
1465,9.77,3.11
1466,9.77,2.64
1467,9.78,1.31
1468,9.79,3.96
1469,9.79,2.57
1470,9.80,1.15
1471,9.81,1.57
1472,9.81,-0.01
1473,9.82,3.42
1474,9.83,3.45
1475,9.83,1.32
1476,9.84,3.74
1477,9.85,2.58
1478,9.85,4.32
1479,9.86,0.74
1480,9.87,-0.01
1481,9.87,0.28
1482,9.88,3.92
1483,9.89,3.43
1484,9.89,4.52
1485,9.90,-0.19
1486,9.91,1.61
1487,9.91,0.73
1488,9.92,1.83
1489,9.93,2.87
1490,9.93,1.32
1491,9.94,2.35
1492,9.95,4.38
1493,9.95,1.76
1494,9.96,0.83
1495,9.97,-0.05
1496,9.97,2.52
1497,9.98,2.28
1498,9.99,3.62
1499,9.99,1.62
1500,10.00,0.39
1501,10.00,2.90
